sequence_id,from_state_id,action_id,to_state_id,lon,lat
8,12,2,112,-73.86553,39.000840000000004
8,112,2,212,-73.86350999999999,39.05148
8,212,2,312,-73.86083,39.10155
8,312,2,412,-73.85887,39.15165
8,412,2,512,-73.85947,39.20221
8,512,2,612,-73.86088000000001,39.25227
8,612,2,712,-73.86276,39.3001
8,712,2,812,-73.86296999999999,39.35191
8,812,2,912,-73.8638,39.4016
8,912,2,1012,-73.86462,39.45262
8,1012,2,1112,-73.8655,39.50014
8,1112,2,1212,-73.86606,39.55036
8,1212,2,1312,-73.87435,39.60083
8,1312,4,1311,-73.88914,39.65234
8,1311,2,1411,-73.90078000000001,39.67961
8,1411,2,1511,-73.90796999999999,39.70019
8,1511,2,1611,-73.91134,39.751529999999995
8,1611,2,1711,-73.91148000000001,39.800090000000004
8,1711,2,1811,-73.91269,39.85054
8,1811,2,1911,-73.91516999999999,39.90027
8,1911,2,2011,-73.91743000000001,39.95043
8,2011,2,2111,-73.92259,40.00092
8,2111,2,2211,-73.92124,40.05025
8,2211,2,2311,-73.9163,40.101490000000005
8,2311,2,2411,-73.91202,40.15059
8,2411,2,2511,-73.90915,40.20032
8,2511,2,2611,-73.91566,40.251090000000005
8,2611,2,2711,-73.91971,40.3006
8,2711,2,2811,-73.91871,40.35047
8,2811,2,2911,-73.92145,40.40175
8,2911,4,2910,-73.93471,40.45074
8,2910,4,2909,-73.95224,40.46275
8,2909,2,3009,-74.00242,40.48415
8,3009,2,3109,-74.04347,40.50334
8,3109,2,3209,-74.03705,40.55218
8,3209,4,3208,-74.03935,40.60083
8,3208,2,3308,-74.05039000000001,40.63787
8,3308,0,3309,-74.0511,40.65051
8,3309,2,3409,-74.04996,40.660379999999996
